node_id,node_type,name,taxonomy,confidence,probability,severity_num,project_id
action::244::the plan details engineering m,Action,"The plan details engineering measures and vegetation measures to manage potential soil erosion from the construction activities (e.g., dam site, disposal sites, access roads, burrow pits, and resettle",Mitigation,0.55,0.45,0.33,P_011
action::245::the plan will take into accoun,Action,The plan will take into account the Specification for Reservoir Basin Cleaning Designing (DL/T 5381-2007) issued by government.,Mitigation,0.55,0.25,0.33,P_011
action::246::the pcr management plan specif,Action,"The PCR Management Plan specifies: (a) mitigation measures, such as relocation of old buildings, ancient trees, household graves, and the rebuilding of a 36 community church; (b) monitoring arrangemen",Mitigation,0.55,0.25,0.33,P_011
action::247::the plan includes measures for,Action,"The plan includes measures for mosquito and rodent control, proposes training for resettlers on management of pesticides and on integrated pest management.",Mitigation,0.55,0.25,0.33,P_011
action::248::the study will be completed du,Action,"The study will be completed during the dam construction period, and its outcome will be reviewed and approved prior to reservoir inundation to ensure that other components in Changjiang River Basin ar",Mitigation,0.55,0.25,0.33,P_011
"action::249::in addition, the seia also inc",Action,"In addition, the SEIA also includes a due diligence on a sanitary landfill which will receive solid waste generated by the project.",Mitigation,0.55,0.25,0.33,P_011
action::24::the bank would add through its,Action,"The Bank would add through its knowledge of global good practice on development of flood risk management systems, focusing not only on infrastructure construction but also on flood risk mitigation mea",Mitigation,0.55,0.25,0.33,P_011
action::250::fill which will receive solid,Action,fill which will receive solid waste generated by the project.,Mitigation,0.55,0.25,0.33,P_011
action::251::the rap has set up the compens,Action,The RAP has set up the compensation approaches and livelihood rehabilitation measures for the PAP.,Mitigation,0.55,0.25,0.33,P_011
action::252::resettlement implementation wi,Action,"Resettlement implementation will be managed by resettlement personnel of PMO and Fuliang County Resettlement Office, in cooperation with local line agencies.",Mitigation,0.55,0.25,0.33,P_011
action::253::the rpf is in compliance with,Action,The RPF is in compliance with OP4.12 requirements and will guide RAP preparation for these activities.,Mitigation,0.55,0.25,0.33,P_011
action::254::the following actions have bee,Action,The following actions have been have been included in the project: (a) Wuxikou Dam.,Mitigation,0.55,0.25,0.33,P_011
action::255::qualified contractors/supplier,Action,Qualified contractors/suppliers and supervision engineers will be ESMPloyed to construct the dam and to supervise construction.,Mitigation,0.55,0.25,0.33,P_011
action::256::the pmo will maintain the dsp,Action,The PMO will maintain the DSP throughout the project period to carry out dam safety review.,Mitigation,0.55,0.25,0.33,P_011
"action::257::dam safety plans, incorporatin",Action,"Dam safety plans, incorporating the DSP recommendations, will be adhered to during project construction and subsequent operation.",Mitigation,0.55,0.25,0.33,P_011
action::258::most of the identified deficie,Action,"Most of the identified deficiencies have already been rectified, and the remaining actions will be taken in 2013.",Mitigation,0.55,0.25,0.33,P_011
"action::259::during project implementation,",Action,"During project implementation, the Bank, together with DSP, will supervise implementation of the dam safety action plans to ensure compliance with OP 4.37.",Mitigation,0.55,0.25,0.33,P_011
"action::25::in addition, the recent succes",Action,"In addition, the recent successful experience and lessons from Bank supported projects in China, documented in the recently completed (and soon to be released as an Annex to the China Country Water Re",Mitigation,0.55,0.25,0.33,P_011
action::260::project results will be monito,Action,Project results will be monitored and evaluated internally and externally.,Mitigation,0.55,0.25,0.33,P_011
action::261::an experienced institute will,Action,"An experienced institute will be contracted by the PMO for data collection, monitoring and evaluation, including collection of baseline data for the key performance indicators.",Mitigation,0.55,0.25,0.33,P_011
action::262::a baseline m&e report was comp,Action,A baseline M&E report was completed before project negotiations and an M&E report will be submitted to the Bank for review annually during project implementation.,Mitigation,0.55,0.25,0.33,P_011
action::263::a mid-term review (mtr) report,Action,"A mid-term review (MTR) report of the project will be prepared and provided to the Bank before June 30, 2015, and an Implementation Completion Report (ICR) upon project completion in June 30, 2018.",Mitigation,0.55,0.25,0.33,P_011
action::264::40 appendix 1 organizational c,Action,40 Appendix 1 Organizational Chart for Project Management and Implementation 41 Appendix 2 Agreed Actions for Dam Safety 42 43 Annex 4: Operational Risk Assessment Framework (ORAF) China: Jiangxi Wuxi,Mitigation,0.6,0.25,0.66,P_011
action::265::risk management: the pmo will,Action,Risk Management: The PMO will continue consultations with stakeholders and disseminate project information throughout the project.,Mitigation,0.55,0.25,0.33,P_011
action::266::the bank will monitor feedback,Action,The Bank will monitor feedback from stakeholders during missions and through review of reports.,Mitigation,0.55,0.25,0.33,P_011
action::267::training will be provided to f,Action,Training will be provided to FM and procurement staff on an as required basis during project implementation.,Mitigation,0.55,0.25,0.33,P_011
action::268::bank missions will assess the,Action,"Bank missions will assess the capacity of project agencies to implement the project satisfactorily on an on-going basis, and will provide support as required.",Mitigation,0.55,0.25,0.33,P_011
action::269::bank missions will monitor the,Action,Bank missions will monitor the timely provision of the required counterpart funds.,Mitigation,0.55,0.25,0.33,P_011
action::26::the project development object,Action,"The project development objective is to reduce flood risk in the central urban area of Jingdezhen City through implementation of priority structural and non-structural measures, and contribute to esta",Mitigation,0.55,0.25,0.33,P_011
action::270::bank missions will maintain an,Action,"Bank missions will maintain an on-going dialogue with Government agencies, in particular the PMO, to ensure that there is good understanding of the project objectives, design, and implementation arran",Mitigation,0.55,0.25,0.33,P_011
action::271::the bank will also monitor aud,Action,The Bank will also monitor audit and other reports to ensure that fiduciary controls are in place and are effective.,Mitigation,0.55,0.25,0.33,P_011
action::272::bank missions will continue to,Action,Bank missions will continue to provide technical guidance on integrated flood risk management.,Mitigation,0.55,0.25,0.33,P_011
action::273::resp: client and bank stage: i,Action,Resp: Client and Bank Stage: Implementation Due Date : Recurrent Status: In progress Social & Environmental Rating: Substantial Description : The project will have substantial environmental impacts an,Mitigation,0.65,0.25,1.0,P_011
action::274::risk management : training on,Action,Risk Management : Training on safeguards will be provided to PMO staff during project implementation on a regular basis.,Mitigation,0.55,0.25,0.33,P_011
action::275::internal and external safeguar,Action,Internal and external safeguard monitoring reports will be furnished on a periodic bas is to Government and to the Bank.,Mitigation,0.55,0.25,0.33,P_011
action::276::the bank will review the repor,Action,"The Bank will review the reports, conduct site visits and discuss safeguard issues with the expert group, the PMO, and municipal leaders to ensure that the safeguard documents are implemented effectiv",Mitigation,0.55,0.25,0.33,P_011
action::277::an experienced institute will,Action,An experienced institute will be contracted for M&E.,Mitigation,0.55,0.25,0.33,P_011
action::278::a web-based procurement and fi,Action,A web-based procurement and financial management system will be established.,Mitigation,0.55,0.25,0.33,P_011
action::279::the city government will estab,Action,The city government will establish the Wuxikou Hydropower Engineering Management Bureau to undertake the operation and maintenance of the Wuxikou reservoir after it is handed over for operations.,Mitigation,0.55,0.25,0.33,P_011
action::27::project beneficiaries include:,Action,"Project beneficiaries include: (a) communities and entities located in the central urban areas of Jingdezhen City, with a population of some 480,000; (b) the entire city will benefit from clean energy",Mitigation,0.55,0.25,0.33,P_011
action::280::the bureau will receive the re,Action,The Bureau will receive the required funds for O&M (estimated to be quite small in relation to Jingdezhen’s revenues) from the municipal budget.,Mitigation,0.55,0.25,0.33,P_011
action::281::risk management : the plg will,Action,Risk Management : The PLG will keep track of contract management through oversight of the PMO and their consultants.,Mitigation,0.55,0.25,0.33,P_011
action::282::the bank will review progress,Action,"The Bank will review progress and other reports, carry out site visits, and discuss issues with appropriate levels in the project management structure and provide guidance in resolving the issues.",Mitigation,0.55,0.25,0.33,P_011
action::283::the plg will review project re,Action,"The PLG will review project reports, including M&E reports, on a regular basis, identify issues and resolve them in a timely manner.",Mitigation,0.55,0.25,0.33,P_011
action::284::the bank will review progress,Action,"The Bank will review progress reports and discuss issues with the PLG, the PMO, and the various consultants, and provide guidance in their resolution.",Mitigation,0.55,0.25,0.33,P_011
action::285::the final o&m plan will be pre,Action,The final O&M Plan will be prepared prior to project completion.,Mitigation,0.55,0.25,0.33,P_011
action::286::the extension plan for scaling,Action,The extension plan for scaling up the Flood Risk Management System to other river basins in Jiangxi will also be prepared during project implementation.,Mitigation,0.55,0.25,0.33,P_011
action::287::bank missions will review the,Action,"Bank missions will review the progress of work in both these areas, and provide guidance in completing them satisfactorily and for their adoption.",Mitigation,0.55,0.25,0.33,P_011
action::288::the main risks of the project,Action,The main risks of the project are: (a) technical complexity of the engineering design; (b) unfamiliarity of integrated approach to flood risk management; and (c) scale of resettlement activities and i,Mitigation,0.55,0.25,0.33,P_011
action::289::considerable guidance has been,Action,"Considerable guidance has been provided to the PMO by Bank specialists in different professional areas, and the following actions have been successfully taken: (a) EA, CIA, ESMP, RAP, social assessmen",Mitigation,0.6,0.25,0.66,P_011
action::28::e entire city will benefit fro,Action,"e entire city will benefit from clean energy from the Wuxikou hydropower plant, and from more reliable water supply; and (c) the ecosystem and communities downstream of Wuxikou dam will benefit from a",Mitigation,0.55,0.25,0.33,P_011
action::290::appropriate mitigation,Action,Appropriate mitigation,Mitigation,0.55,0.25,0.33,P_011
action::291::appropriate mitigation measure,Action,Appropriate mitigation measures have been included in the project design to manage implementation risks.,Mitigation,0.55,0.25,0.33,P_011
action::292::the strategy for implementatio,Action,"The strategy for implementation support is based on the ORAF at the PAD stage, which identifies the risks to achieving the project development objectives and the agreed risk management measures.",Mitigation,0.55,0.25,0.33,P_011
action::293::the strategy will be reviewed,Action,The strategy will be reviewed based on periodic assessments of the risks and the appropriateness of the mitigation measures.,Mitigation,0.55,0.25,0.33,P_011
action::294::bank implementation support wi,Action,Bank implementation support will focus on measures to strengthen the capacity of the PMO to implement the project.,Mitigation,0.55,0.25,0.33,P_011
action::295::the bank will confirm that agr,Action,"The Bank will confirm that agreed specialist staffing (especially dam engineering, integrated flood risk management, procurement, financial management, and safeguards staff) are in place.",Mitigation,0.55,0.25,0.33,P_011
action::296::it will also confirm that the,Action,"It will also confirm that the agreed intensive training program on project management, integrated flood risk management, financial management, procurement, and safeguards is provided to project staff,",Mitigation,0.55,0.25,0.33,P_011
action::297::the bank will carefully monito,Action,"The Bank will carefully monitor the development of the integrated flood risk management system, in addition to the construction of Wuxikou Flood Control Scheme, to ensure that non-structural measures ",Mitigation,0.65,0.25,1.0,P_011
action::298::through periodic site visits a,Action,"Through periodic site visits and review of progress and other reports, the Bank will monitor satisfactory implementation of the various project contracts.",Mitigation,0.55,0.25,0.33,P_011
action::299::it will monitor the satisfacto,Action,"It will monitor the satisfactory implementation of the M&E system through review of progress reports, and discussions with the PMO and their consultants.",Mitigation,0.55,0.25,0.33,P_011
action::29::achievement of the project dev,Action,Achievement of the project development objective will be assessed through the following outcome indicators: (a) urban population vulnerable to one-in-fifty year floods; (b) economic value of fixed ass,Mitigation,0.55,0.25,0.33,P_011
action::2::m&e monitoring & evaluation nc,Action,M&E Monitoring & Evaluation NCB National Competitive Bidding NDRC National Development and Reform Commission PAP Project Affected People PCR Physical Cultural Resources PIP Project Implementation Plan,Mitigation,0.55,0.25,0.33,P_011
action::300::the bank will also confirm tha,Action,"The Bank will also confirm that the final O&M plans are finalized before completion of the project and the adequate institutional, staffing, and funding are in place.",Mitigation,0.55,0.25,0.33,P_011
action::301::it will also maintain a dialog,Action,It will also maintain a dialogue with Jiangxi agencies regarding dissemination of the non-structural measures flood management measures of the project throughout the province.,Mitigation,0.55,0.25,0.33,P_011
action::302::financial management specialis,Action,"Financial management specialists will join Bank implementation support to review the implementation of budgeting, funds flow, accounting and reporting, and internal controls, and will provide the requ",Mitigation,0.55,0.25,0.33,P_011
action::303::they will also review the ifrs,Action,They will also review the IFRs and audit reports and follow-up on any important issues that arise from these reports.,Mitigation,0.55,0.25,0.33,P_011
action::304::training will be also provided,Action,Training will be also provided to FM staff by the Bank before commencement of project implementation.,Mitigation,0.55,0.25,0.33,P_011
action::305::the procurement specialist wil,Action,The procurement specialist will monitor the implementation of the Procurement Plan in compliance with the Procurement Guidelines and the loan agreement.,Mitigation,0.55,0.25,0.33,P_011
action::306::the procurement specialist wil,Action,The procurement specialist will also carry out prior and post reviews at the office and through site visits as part of periodic regular implementation support missions and special procurement missions,Mitigation,0.55,0.25,0.33,P_011
action::307::the procurement specialist wil,Action,"The Procurement Specialist will confirm that updates of the Procurement Plan are acceptable, and will provide s",Mitigation,0.55,0.25,0.33,P_011
action::308::the procurement specialist wil,Action,"The Procurement Specialist will confirm that updates of the Procurement Plan are acceptable, and will provide specialized procurement guidance and training as and when required.",Mitigation,0.55,0.25,0.33,P_011
action::309::in coordination with the fm sp,Action,"In coordination with the FM specialist, the Procurement Specialist will monitor the implementation of PROMIS and its utilization by the PMO.",Mitigation,0.55,0.25,0.33,P_011
action::30::(f) provision of specialized t,Action,(f) Provision of specialized technical training for integrated flood risk management for the purpose of raising awareness and engaging different interest groups on risk management and mitigation.,Mitigation,0.55,0.25,0.33,P_011
action::310::the bank will provide implemen,Action,"The Bank will provide implementation support to, and carefully monitor the implementation of mitigation measures for the safeguard policies triggered by the project, in particular the ESMP, the RAP, a",Mitigation,0.55,0.25,0.33,P_011
"action::311::environmental, social, and dam",Action,"Environmental, social, and dam safety experts will visit project sites on a regular basis and help resolve any issues relating to compliance with the agreed safeguard documents with the PMO and the co",Mitigation,0.55,0.25,0.33,P_011
"action::312::in addition, they will review",Action,"In addition, they will review internal and external monitor reports to confirm compliance with approved safeguards documents.",Mitigation,0.55,0.25,0.33,P_011
action::313::in order to provide effective,Action,"In order to provide effective implementation support, the Bank team supporting the project will be almost entirely based in Beijing.",Mitigation,0.55,0.25,0.33,P_011
action::314::it will be supplemented by was,Action,"It will be supplemented by Washington based experts when necessary, as well as national and international consultants.",Mitigation,0.55,0.25,0.33,P_011
"action::315::the bank will conduct, on aver",Action,"The Bank will conduct, on average, two implementation support missions each fiscal year.",Mitigation,0.55,0.25,0.33,P_011
"action::316::in addition, specialists will",Action,"In addition, specialists will make short visits to project sites as and when necessary.",Mitigation,0.55,0.25,0.33,P_011
action::317::main focus in terms of support,Action,Main Focus in Terms of Support to Implementation Time Focus Skills Needed Resource Estimate Partner Role First twelve months • Financial Management and disbursement training and FM supervision • Procu,Mitigation,0.55,0.25,0.33,P_011
action::31::component 3: implementation of,Action,Component 3: Implementation of Resettlement Action Plan (US$384.61 million to be fully financed by government),Mitigation,0.55,0.25,0.33,P_011
action::32::awareness and engaging differe,Action,awareness and engaging different interest groups on risk management and mitigation.,Mitigation,0.55,0.25,0.33,P_011
action::33::component 3: implementation of,Action,Component 3: Implementation of Resettlement Action Plan (US$384.61 million to be fully financed by government): Carrying out of a program for the resettlement and rehabilitation of people affected by ,Mitigation,0.55,0.25,0.33,P_011
action::34::2 the master plan will be prep,Action,"2 The master plan will be prepared as a supplement to the existing Flood Control Plan of the City, which includes mostly the infrastructure construction plan.",Mitigation,0.55,0.25,0.33,P_011
action::35::the lending instrument for the,Action,"The lending instrument for the project will be a Specific Investment Loan (SIL) in view of the well-defined activities of the project, which have been fully appraised.",Mitigation,0.55,0.25,0.33,P_011
action::36::the loan will have a commitmen,Action,"The loan will have a commitment-linked repayment in 25 year period, including a 6-year grace period, and level repayment of principal.",Mitigation,0.55,0.25,0.33,P_011
action::37::jingdezhen city government wil,Action,Jingdezhen City Government will ensure that counterpart funds are allocated by the different financial sources as indicated in the table.,Mitigation,0.55,0.25,0.33,P_011
action::38::retroactive financing: retroac,Action,"Retroactive Financing: Retroactive financing will be allowed under the project for eligible expenditures, up to an aggregate amount not exceeding US$20 million for payments made up to within 12 months",Mitigation,0.55,0.25,0.33,P_011
action::39::institutional arrangements for,Action,"Institutional arrangements for project implementation are summarized below: (a) A Project Leading Group at the municipal level in Jingdezhen City, chaired by the Vice Mayor of Jingdezhen City, will be",Mitigation,0.55,0.25,0.33,P_011
action::3::key risks and mitigation measu,Action,KEY RISKS AND MITIGATION MEASURES ............................................................8 A.,Mitigation,0.55,0.25,0.33,P_011
action::40::(b) a project management offic,Action,"(b) The Project Management Office, under the leadership of Municipal Government of Jingdezhen City, will be responsible, inter alia, for Project management and implementation, procurement and financia",Mitigation,0.55,0.25,0.33,P_011
action::41::(c) an expert group will provi,Action,(c) An Expert Group will provide technical support to the PMO.,Mitigation,0.55,0.25,0.33,P_011
action::42::(d) an independent panel of ex,Action,"(d) The Independent Panel of Experts for Environment, Social and Resettlement and Dam Safety will provide advice and guidance on the implementation of the safeguards aspects of the Project.",Mitigation,0.55,0.25,0.33,P_011
action::43::the pmo will monitor project p,Action,The PMO will monitor project progress and results.,Mitigation,0.55,0.25,0.33,P_011
action::44::an experienced institute will,Action,An experienced institute will be contracted by the PMO for monitoring and evaluation including collection of baseline data and data on achievement of the key performance indicators listed in Annex 1.,Mitigation,0.55,0.25,0.33,P_011
action::45::the project will also develop,Action,The project will also develop and set up a web-based Procurement and Financial Management Information System (PROMIS) to,Mitigation,0.55,0.25,0.33,P_011
action::46::the project will also develop,Action,"The project will also develop and set up a web-based procurement and financial management information system (PROMIS) which will automatically monitor procurement and financial transactions, and will ",Mitigation,0.55,0.25,0.33,P_011
action::47::promis will also provide conso,Action,PROMIS will also provide consolidated data for intermediate result indicators.,Mitigation,0.55,0.25,0.33,P_011
action::48::the city government has approv,Action,"The city government has approved the strategy for integrated flood risk management for the Changjiang River Basin, which will serve as a guiding principle for preparation and implementation of the Mas",Mitigation,0.55,0.25,0.33,P_011
action::49::the provincial government is a,Action,The provincial government is also fully committed to the concept and approach of integrated flood risk management and will extend the concept and approach to other medium and small river basins in the,Mitigation,0.55,0.25,0.33,P_011
action::4::ative 7 20 50 80 95 100 projec,Action,ative 7 20 50 80 95 100 Project Development Objective(s) The project development objective is to reduce the flood risk in the central urban area of Jingdezhen City through implementation of priority s,Mitigation,0.55,0.25,0.33,P_011
action::50::o&m plans will be in place to,Action,O&M plans will be in place to ensure that the Wuxikou Flood Control Scheme and the Food Control Dispatching Center are well maintained and operated after their completion.,Mitigation,0.55,0.25,0.33,P_011
"action::51::these policies and frameworks,",Action,"These policies and frameworks, as well as operational rules of the project, will be reviewed, approved, and issued as official documents for implementation by Jingdezhen City on completion of the proj",Mitigation,0.55,0.25,0.33,P_011
action::52::key risks and mitigation measu,Action,KEY RISKS AND MITIGATION MEASURES A.,Mitigation,0.55,0.25,0.33,P_011
action::53::appropriate risk management me,Action,Appropriate risk management measures are incorporated in project design and the Bank will provide on-going implementation support.,Mitigation,0.55,0.25,0.33,P_011
action::54::table on counterpart funding r,Action,"Table on Counterpart Funding Requirements in Section III indicates that some $413 million will be required as counterpart funds, primarily for implementing the resettlement action plan.",Mitigation,0.55,0.25,0.33,P_011
"action::55::of this amount, the central go",Action,"Of this amount, the Central Government will provide about US$154 million, Jiangxi Province about US$48 million, and Jingdezhen Municipal Government some US$211 million.",Mitigation,0.55,0.25,0.33,P_011
action::56::jiangxi province will repay th,Action,"Jiangxi Province will repay the Bank loan, and Jingdezhen City will provide funds for O&M.",Mitigation,0.55,0.25,0.33,P_011
action::57::it comprises structural measur,Action,It comprises structural measures (Component 1) and non-structural measures (Component 2) to form an integrated flood risk management system for Jingdezhen City.,Mitigation,0.55,0.25,0.33,P_011
action::58::the non-structural measures wi,Action,"The non-structural measures will contribute to the optimal operation of flood hazard reduction infrastructure such as reservoirs, dikes and storm drainage works, and also enhance the flood resilience ",Mitigation,0.55,0.25,0.33,P_011
action::59::without compromising the objec,Action,"Without compromising the objective, reservoir operating procedures will be finalized before the completion of the dam, also meet the objectives of water supply and power generation, as well as maintai",Mitigation,0.55,0.25,0.33,P_011
action::5::implementation of resettlement,Action,Implementation of Resettlement Action Plan 384.61 4.,Mitigation,0.55,0.25,0.33,P_011
"action::60::the operation, maintenance and",Action,"The operation, maintenance and surveillance plan, and the emergency preparedness plan will be respectively finalized six and twelve months prior to the first reservoir impounding.",Mitigation,0.55,0.25,0.33,P_011
action::61::dam construction and safety pl,Action,"Dam construction and safety plans will be implemented under the supervision of qualified supervising engineers, the DSP and Jingdezhen water resources bureau.",Mitigation,0.55,0.25,0.33,P_011
action::62::the main civil works contracto,Action,The main civil works contractors will be pre-qualified.,Mitigation,0.55,0.25,0.33,P_011
action::63::the operational safety of wuxi,Action,The operational safety of Wuxikou Dam will be enhanced by the upgraded flood forecasting system and the decision support system.,Mitigation,0.55,0.25,0.33,P_011
"action::64::the bank loan proceeds, includ",Action,"The Bank loan proceeds, including overseeing the Designated Account (DA), will be managed by Jiangxi Provincial Finance Bureau (JPFB).",Mitigation,0.55,0.25,0.33,P_011
action::65::mitigation measures to address,Action,"Mitigation measures to address the above risks include: (a) related guidelines and FM/disbursement training to the PMO during project preparation, with additional ad hoc training during project implem",Mitigation,0.55,0.25,0.33,P_011
action::66::with the implementation of the,Action,"With the implementation of these proposed actions, the financial management arrangements would satisfy the Bank’s minim",Mitigation,0.55,0.25,0.33,P_011
action::67::with the implementation of the,Action,"With the implementation of these proposed actions, the financial management arrangements would satisfy the Bank’s minimum requirements under OP/BP 10.02.",Mitigation,0.55,0.25,0.33,P_011
action::68::procurement under the project,Action,Procurement under the project will be carried out by the PMO in accordance with a Procurement Manual reviewed by the Bank.,Mitigation,0.55,0.25,0.33,P_011
action::69::the pmo will be responsible fo,Action,"The PMO will be responsible for all aspects of procurement including procurement planning, procurement cycle management as well as contract management.",Mitigation,0.55,0.25,0.33,P_011
"action::6::panel for environment, social",Action,"Panel for Environment, Social and Resettlement and Dam Safety X Annually Jingdezhen City to engage and retain the services of independent consultants to carry out external monitoring and reporting on ",Mitigation,0.55,0.25,0.33,P_011
action::70::sa results were incorporated i,Action,"The SA results were incorporated in the EIA to guide project design and planning from both social and environmental perspectives; in addition, social management measures were integrated in the ESMP.",Mitigation,0.55,0.25,0.33,P_011
action::71::the bank will continue to moni,Action,The Bank will continue to monitor the remaining Dike resettlement implementation.,Mitigation,0.55,0.25,0.33,P_011
action::72::the rpf will guide rap prepara,Action,The RPF will guide RAP preparation for these activities.,Mitigation,0.55,0.25,0.33,P_011
action::73::information collected by the s,Action,Information collected by the SA has been used for the development of a gender sensitive Resettlement Action Plan (RAP).,Mitigation,0.55,0.25,0.33,P_011
action::74::particular attention will also,Action,Particular attention will also be given to ensuring that a balanced number of women and men are included in community facilitator teams.,Mitigation,0.55,0.25,0.33,P_011
action::75::gender disaggregated indicator,Action,Gender disaggregated indicators have been included in the Results Framework to assess the extent to which: (a) women have benefitted on par with men from flood prevention activities implemented; (b) c,Mitigation,0.65,0.25,1.0,P_011
action::76::local people will benefit from,Action,"Local people will benefit from the project in terms of reduced flood damage, improved water supply and electricity generation.",Mitigation,0.55,0.25,0.33,P_011
action::77::the major environmental conseq,Action,The major environmental consequences of the project stem from the dam and the reservoir it will create.,Mitigation,0.65,0.25,1.0,P_011
action::78::the change in the river flow d,Action,The change in the river flow downstream of the dam will not have significant impacts on aquatic habitats.,Mitigation,0.65,0.25,1.0,P_011
action::79::minimum flow will be guarantee,Action,Minimum flow will be guaranteed at all times to provide sufficient water for downstream users as well as for ecological functions.,Mitigation,0.55,0.25,0.33,P_011
"action::7::mid-term review june 30, 2015",Action,"Mid-Term Review June 30, 2015 viii Jingdezhen City to, not later than June 30, 2015, review with the Bank (mid-term review) the progress made in the implementation of the Project, together with any re",Mitigation,0.55,0.45,0.33,P_011
action::80::the change of river morphology,Action,"The change of river morphology will affect or displace some species (e.g., Barbodes); however, none of these are protected species.",Mitigation,0.55,0.25,0.33,P_011
"action::81::however, it will contribute to",Action,"However, it will contribute to the fragmentation of aquatic habitats and affect fish mobility.",Mitigation,0.55,0.25,0.33,P_011
"action::82::as an offset, a fish breeding",Action,"As an offset, a fish breeding station will be established: 300,000 young fish will be released in the river each year, and the effects of this activity will be evaluated by qualified scientific instit",Mitigation,0.55,0.25,0.33,P_011
"action::83::to improve fish diversity, 0.5",Action,"To improve fish diversity, 0.5-1.0 ton of fish will be caught downstream of the dam and released upstream each year.",Mitigation,0.55,0.25,0.33,P_011
action::84::the project will not flood any,Action,The project will not flood any critical natural habitat.,Mitigation,0.65,0.25,1.0,P_011
action::85::the esmp includes mitigation m,Action,"The ESMP includes mitigation measures, training, and awareness",Mitigation,0.55,0.25,0.33,P_011
action::86::the esmp includes mitigation m,Action,"The ESMP includes mitigation measures, training, and awareness dissemination to promote natural habitat protection.",Mitigation,0.55,0.25,0.33,P_011
action::87::regulatory aspects for natural,Action,Regulatory aspects for natural habitat will be reinforced to prevent people from poaching wildlife.,Mitigation,0.55,0.25,0.33,P_011
action::88::the project will affect 662 ha,Action,"The project will affect 662 ha of secondary and regenerated forest, mainly consisting of bamboo, pines and firs; these are common species in sub-tropical monsoon climate zones.",Mitigation,0.55,0.25,0.33,P_011
action::89::some physical cultural resourc,Action,"Some physical cultural resources (PCRs) will be flooded, including ancestral houses, ancient trees, and household graves.",Mitigation,0.55,0.25,0.33,P_011
action::8::o&m plan for wuxikou flood con,Action,"O&M Plan for Wuxikou Flood Control Scheme December 31, 2017 Jingdezhen City to prepare and furnish to the Bank for review and comment, at least six months prior to the completion of the scheme, a prop",Mitigation,0.55,0.25,0.33,P_011
action::90::mosquito and rodent control ac,Action,Mosquito and rodent control activities will be conducted during reservoir clearing process to protect public health.,Mitigation,0.55,0.25,0.33,P_011
"action::91::in addition, resettled familie",Action,"In addition, resettled families will be provided with plots to plant tea, ginseng, oil-tea trees, and bamboos.",Mitigation,0.55,0.25,0.33,P_011
action::92::there will be large-scale cons,Action,There will be large-scale construction activity in the dam site.,Mitigation,0.55,0.25,0.33,P_011
action::93::these construction works and t,Action,"These construction works and the associated infrastructure will result in adverse impacts, such as land acquisition, dust, noise, air quality, waste generation, soil erosion, and other aspects of work",Mitigation,0.55,0.25,0.33,P_011
action::94::these will be mitigated or min,Action,These will be mitigated or minimized through site-specific,Mitigation,0.55,0.25,0.33,P_011
action::95::these will be mitigated or min,Action,These will be mitigated or minimized through site-specific mitigation measures and environmental specification for contractors.,Mitigation,0.55,0.25,0.33,P_011
action::96::combined with the existing hyd,Action,"Combined with the existing hydropower facilities and a likely hydropower project, the proposed project could create cumulative impacts beyond its immediate area of influence, such as contribution to t",Mitigation,0.55,0.75,0.33,P_011
action::97::the supplemental environmental,Action,"The Supplemental Environmental Impact Assessment Report (SEIA), Cumulative Impact Assessment report (CIA), and ESMP propose measures (e.g., aquatic habitats protection) to address identified cumulativ",Mitigation,0.55,0.25,0.33,P_011
action::98::a comprehensive reservoir mana,Action,A Comprehensive Reservoir Management Plan Development Study (CRMP) will be carried out to identify issues related to future monitoring and adaptive management.,Mitigation,0.55,0.25,0.33,P_011
action::99::the study outcome will be revi,Action,The study outcome will be reviewed and approved prior to reservoir inundation.,Mitigation,0.55,0.25,0.33,P_011
action::9::furnish to the bank for review,Action,"furnish to the Bank for review and comment, at least six months prior to the completion of the scheme, a proposed operation and maintenance plan for such scheme, including institutional, technical and",Mitigation,0.55,0.25,0.33,P_011
claim::1::compensation,Claim,compensation,Claims & Change,0.55,0.25,0.33,P_011
project::P_011,Project,P_011,,1.0,0.0,0.0,P_011
risk::10::capacity,Risk,Capacity,Governance/Institutional,0.55,0.25,0.33,P_011
risk::11::counterpart funding,Risk,Counterpart Funding,Funding & Finance,0.55,0.25,0.33,P_011
risk::12::coordination,Risk,coordination,Governance/Institutional,0.55,0.25,0.33,P_011
risk::13::land acquisition,Risk,land acquisition,Land & Resettlement,0.65,0.25,1.0,P_011
risk::14::disbursement,Risk,disbursement,Funding & Finance,0.55,0.25,0.33,P_011
risk::15::quality,Risk,Quality,Quality & HSE,0.55,0.25,0.33,P_011
risk::16::contractor,Risk,contractor,Contractor Performance,0.55,0.25,0.33,P_011
risk::17::enhancement,Risk,enhancement,Quality & HSE,0.55,0.25,0.33,P_011
risk::18::suppliers,Risk,suppliers,Procurement & Supply,0.55,0.25,0.33,P_011
risk::19::conflict,Risk,conflict,Political/Social/External,0.55,0.45,0.33,P_011
risk::1::currency,Risk,Currency,Price/Inflation/FX,0.55,0.25,0.33,P_011
risk::20::variation,Risk,variations,Design & Scope,0.6,0.25,0.66,P_011
risk::21::capacity constraints,Risk,Capacity Constraints,Contractor Performance,0.55,0.25,0.33,P_011
